stop_lat, stop_lon
41.89638809, -87.64273373
41.89641589, -87.64021797
41.89644872, -87.63735212
41.89647376, -87.63591236
41.89651769, -87.63295213
41.89653382, -87.63136267
41.89658592, -87.62992506
41.89660686, -87.62838543
41.89662108, -87.62698841
41.8966447, -87.62567065
41.89666084, -87.6245301
41.896716, -87.62053
41.895127, -87.620375
41.894321, -87.620356
41.89234, -87.62038
41.89191794, -87.61798436
41.891862, -87.620009
41.892461, -87.620117
41.894081, -87.620224
41.894886, -87.620252
41.896645, -87.620311
41.89683816, -87.62170867
41.89680037, -87.62449336
41.89676304, -87.62670344
41.89674104, -87.62802244
41.89671904, -87.62960444
41.89669704, -87.63105944
41.89666896, -87.63553437
41.89661268, -87.63976119
41.8965778, -87.64260977
41.89649698, -87.64615091
41.89651, -87.64817713
41.89639185, -87.65170798
41.89635265, -87.65510772
41.89630868, -87.6573982
41.89622854, -87.6622701
41.896197, -87.664691
41.89615141, -87.66707916
41.89611357, -87.66955486
41.89603074, -87.67449
41.89586527, -87.68422742
41.89579646, -87.68915823
41.89574952, -87.69415782
41.89570621, -87.6997458
41.89566659, -87.70264143
41.89561076, -87.70876153
41.89556198, -87.71376324
41.89554001, -87.71620529
41.8954873, -87.72350073
41.89544463, -87.72590117
41.89537799, -87.72842914
41.89535402, -87.73090378
41.89531292, -87.73334867
41.89522016, -87.73829914
41.89513012, -87.74341428
41.89504996, -87.74809044
41.89503504, -87.75309924
41.89500135, -87.75796488
41.89489933, -87.76346107
41.89493013, -87.76526378
41.89489832, -87.76766308
41.89483319, -87.77203704
41.92385192, -87.80198609
41.923497, -87.800851
41.923512, -87.799018
41.923526, -87.797189
41.92351819, -87.79541381
41.921863, -87.78306
41.920491, -87.775713
41.92006352, -87.77325642
41.91916419, -87.76835011
41.91821404, -87.763198
41.91780507, -87.7609681
41.91719472, -87.75765066
41.91689396, -87.75608873
41.91678384, -87.75351536
41.91522393, -87.74945624
41.91389023, -87.74616164
41.91292677, -87.74365725
41.91166747, -87.74053319
41.910966, -87.738711
41.910036, -87.736361
41.909106, -87.733994
41.907083, -87.728996
41.90514637, -87.72412498
41.90418821, -87.72159442
41.90342981, -87.71961797
41.901571, -87.715107
41.9010388, -87.71368713
41.90011134, -87.71207511
41.89939914, -87.70957967
41.89730851, -87.70428253
41.89664206, -87.70264029
41.89639889, -87.70204875
41.89579281, -87.70052166
41.894255, -87.696723
41.893283, -87.694255
41.892725, -87.692892
41.892279, -87.691763
41.89130844, -87.68928255
41.89056857, -87.68684427
41.89062906, -87.68437029
41.89069201, -87.68178907
41.89070032, -87.67950809
41.89075979, -87.67702072
41.89080579, -87.67457572
41.89084079, -87.67214172
41.89087679, -87.66971472
41.89090348, -87.66731116
41.89091653, -87.6655934
41.89095853, -87.6623424
41.89102866, -87.65473053
41.8910588, -87.6524239
41.8910884, -87.64984684
41.89111519, -87.64777715
41.8911144, -87.64588684
41.89118338, -87.6431013
41.89142739, -87.63996748
41.89147038, -87.63716348
41.89150738, -87.63563348
41.89151114, -87.63419927
41.890737, -87.632811
41.890758, -87.631279
41.890866, -87.625502
41.89088105, -87.62432598
41.891002, -87.61786
41.891042, -87.615376
41.89102512, -87.61314762
41.89233194, -87.60999416
41.892011, -87.612125
41.891949, -87.615391
41.891824, -87.622526
41.89173615, -87.62790082
41.891714, -87.629467
41.891693, -87.630945
41.89166494, -87.63546111
41.891579, -87.639757
41.891332, -87.642789
41.89123692, -87.64985452
41.89119057, -87.65449965
41.8911595, -87.65725745
41.89114825, -87.65868696
41.89108116, -87.6620999
41.89108142, -87.66540595
41.8910639, -87.66695867
41.89101802, -87.66947781
41.8909867, -87.671862
41.89094784, -87.67435353
41.89092435, -87.67672064
41.89086794, -87.67918033
41.89077566, -87.68161052
41.8907743, -87.68412951
41.8923868, -87.69160027
41.89280899, -87.69267042
41.89340945, -87.69405394
41.894236, -87.696239
41.89539181, -87.69907004
41.89645974, -87.7017202
41.89686363, -87.70280055
41.89727124, -87.70383501
41.89820254, -87.70621812
41.89901892, -87.70823409
41.90111858, -87.71343823
41.90181786, -87.71531902
41.90262083, -87.71729954
41.903498, -87.719491
41.90517029, -87.72375684
41.90615975, -87.7262656
41.90719452, -87.72875386
41.90814822, -87.73121579
41.90910115, -87.73364265
41.910255, -87.736576
41.910992, -87.738444
41.91169701, -87.74017967
41.91292786, -87.74326523
41.91397719, -87.745786
41.91531404, -87.74919464
41.91668751, -87.75281781
41.91743849, -87.75829719
41.91831551, -87.76308444
41.91894393, -87.7662933
41.91925064, -87.76816211
41.92015246, -87.77305811
41.92061241, -87.77547362
41.92105671, -87.77797234
41.92195267, -87.78287544
41.92266109, -87.78527711
41.92327513, -87.78769283
41.9236977, -87.79268704
41.9236635, -87.79750551
41.92359903, -87.80051574
41.909026, -87.80401
41.90883939, -87.80129052
41.9089, -87.798103
41.90897029, -87.79517032
41.90899595, -87.7924506
41.908996, -87.790097
41.90900079, -87.78747675
41.90906273, -87.78510758
41.909098, -87.78350492
41.90910983, -87.78090532
41.90919299, -87.77820663
41.90920726, -87.77086088
41.90926125, -87.76780492
41.909346, -87.763178
41.909379, -87.761029
41.90941649, -87.75801302
41.90938864, -87.75608529
41.90943469, -87.75275949
41.9094542, -87.75114264
41.90951085, -87.74636965
41.90955069, -87.74377559
41.90961619, -87.74041353
41.909622, -87.738706
41.909646, -87.736503
41.909678, -87.734463
